"ID" "issue"
"BFT_41893" "Single digit social code"
"BFT_41895" "Single digit social code"
"BFT_41899" "Single digit social code"
"BFT_4189B" "Single digit social code"
"BFT_4189C" "Single digit social code"
"BFT_4189D" "Single digit social code"
"BFT_41900" "Single digit social code"
"BFT_41901" "Single digit social code"
"BFT_41902" "Single digit social code"
"BFT_41903" "Single digit social code"
"BFT_41904" "Single digit social code"
"BFT_41905" "Single digit social code"
"BFT_41906" "Single digit social code"
"BFT_41907" "Single digit social code"
"BFT_41908" "Single digit social code"
"BFT_41909" "Single digit social code"
"BFT_41910" "Single digit social code"
"BFT_41911" "Single digit social code"
"BFT_41912" "Single digit social code"
"BFT_41913" "Single digit social code"
"BFT_41914" "Single digit social code"
"BFT_41915" "Single digit social code"
"BFT_41916" "Single digit social code"
"BFT_41917" "Single digit social code"
"BFT_41918" "Single digit social code"
"BFT_41919" "Single digit social code"
"BFT_41920" "Single digit social code"
"BFT_41921" "Single digit social code"
"BFT_41922" "Single digit social code"
"BFT_41923" "Single digit social code"
"BFT_41924" "Single digit social code"
"BFT_41925" "Single digit social code"
"BFT_41927" "Single digit social code"
"BFT_41928" "Single digit social code"
"BFT_41929" "Single digit social code"
"BFT_4192A" "Single digit social code"
"BFT_4192B" "Single digit social code"
"BFT_41930" "Single digit social code"
"BFT_41931" "Single digit social code"
"BFT_41933" "Single digit social code"
"BFT_41934" "Single digit social code"
"BFT_41935" "Single digit social code"
"BFT_41936" "Single digit social code"
"BFT_41937" "Single digit social code"
"BFT_41938" "Single digit social code"
"BFT_41939" "Single digit social code"
"BFT_4193A" "Single digit social code"
"BFT_4193B" "Single digit social code"
"BFT_41940" "Single digit social code"
"BFT_41941" "Single digit social code"
"BFT_41942" "Single digit social code"
"BFT_41943" "Single digit social code"
"BFT_41944" "Single digit social code"
"BFT_41945" "Single digit social code"
"BFT_41946" "Single digit social code"
"BFT_41947" "Single digit social code"
"BFT_41948" "Single digit social code"
"BFT_41949" "Single digit social code"
"BFT_41950" "Single digit social code"
"BFT_41951" "Single digit social code"
"BFT_41952" "Single digit social code"
"BFT_51701" "Single digit social code"
"BU1_1000" "Single digit social code"
"BU1_1100" "Single digit social code"
"BU1_1200" "Single digit social code"
"BU1_1300" "Single digit social code"
"BU1_1401" "Single digit social code"
"BU1_1402" "Single digit social code"
"BU1_1500" "Single digit social code"
"BU1_1600" "Single digit social code"
"BU1_1700" "Single digit social code"
"BU1_1800" "Single digit social code"
"BU1_1900" "Single digit social code"
"BU1_190A" "Single digit social code"
"BU1_2000" "Single digit social code"
"BU1_2101" "Single digit social code"
"BU1_2102" "Single digit social code"
"BU1_2200" "Single digit social code"
"BU1_2300" "Single digit social code"
"BU1_2400" "Single digit social code"
"BU1_2500" "Single digit social code"
"BU1_2601" "Single digit social code"
"BU1_2602" "Single digit social code"
"BU1_2700" "Single digit social code"
"BU1_2800" "Single digit social code"
"BU1_2900" "Single digit social code"
"BU1_300" "Single digit social code"
"BU1_3000" "Single digit social code"
"BU1_3100" "Single digit social code"
"BU1_3200" "Single digit social code"
"BU1_3300" "Single digit social code"
"BU1_3400" "Single digit social code"
"BU1_3500" "Single digit social code"
"BU1_350A" "Single digit social code"
"BU1_3600" "Single digit social code"
"BU1_3700" "Single digit social code"
"BU1_3800" "Single digit social code"
"BU1_3900" "Single digit social code"
"BU1_400" "Single digit social code"
"BU1_4000" "Single digit social code"
"BU1_4101" "Single digit social code"
"BU1_4102" "Single digit social code"
"BU1_4200" "Single digit social code"
"BU1_4300" "Single digit social code"
"BU1_4400" "Single digit social code"
"BU1_4501" "Single digit social code"
"BU1_4502" "Single digit social code"
"BU1_4556" "Single digit social code"
"BU1_4601" "Single digit social code"
"BU1_4602" "Single digit social code"
"BU1_4701" "Single digit social code"
"BU1_4702" "Single digit social code"
"BU1_4800" "Single digit social code"
"BU1_4900" "Single digit social code"
"BU1_5001" "Single digit social code"
"BU1_5002" "Single digit social code"
"BU1_501" "Single digit social code"
"BU1_502" "Single digit social code"
"BU1_5100" "Single digit social code"
"BU1_5102" "Single digit social code"
"BU1_5201" "Single digit social code"
"BU1_5202" "Single digit social code"
"BU1_5300" "Single digit social code"
"BU1_5400" "Single digit social code"
"BU1_5501" "Single digit social code"
"BU1_5502" "Single digit social code"
"BU1_5601" "Single digit social code"
"BU1_5602" "Single digit social code"
"BU1_600" "Single digit social code"
"BU1_6801" "Single digit social code"
"BU1_700" "Single digit social code"
"BU1_7400" "Single digit social code"
"BU1_800" "Single digit social code"
"BU1_900" "Single digit social code"
"BU2_100" "Single digit social code"
"BU2_200" "Single digit social code"
"BU2_300" "Single digit social code"
"BU2_400" "Single digit social code"
"BU4_1000" "Single digit social code"
"BU4_101" "Single digit social code"
"BU4_102" "Single digit social code"
"BU4_1100" "Single digit social code"
"BU4_1200" "Single digit social code"
"BU4_1500" "Single digit social code"
"BU4_1600" "Single digit social code"
"BU4_1700" "Single digit social code"
"BU4_1800" "Single digit social code"
"BU4_1900" "Single digit social code"
"BU4_201" "Single digit social code"
"BU4_202" "Single digit social code"
"BU4_2056" "Single digit social code"
"BU4_2100" "Single digit social code"
"BU4_2200" "Single digit social code"
"BU4_501" "Single digit social code"
"BU4_502" "Single digit social code"
"BU4_600" "Single digit social code"
"BU4_700" "Single digit social code"
